script_directory,table_or_view,column,script,matching_term,notes
Livesql3,ApplicationSetLocation,tin,cred.sql,tin,
Livesql3,ProviderApplicationStatusLocation,tin,cred.sql,tin,
Livesql3,ArchivedTINsBTD,tin,reportst.sql,tin,
Livesql3,ArchivedTINsYTD,tin,reportst.sql,tin,
Livesql3,dhmo,tin,reportst.sql,tin,
Livesql3,dhmo_add_groups,tin,reportst.sql,tin,
Livesql3,Match_Anthem_1,tin,reportst.sql,tin,
Livesql3,Match_Anthem_BO_1,tin,reportst.sql,tin,
Livesql3,papersub,tin,reportst.sql,tin,
Livesql3,rpt_GHI_Activity,tin,reportst.sql,tin,
Livesql3,rpt_MonthlyBilling_DeltaProvBreakdown,tin,reportst.sql,tin,
Livesql3,rpt_NewActivity,tin,reportst.sql,tin,
Livesql3,xls_DeltaCA,tin,reportst.sql,tin,
Livesql3,dfcgroups,tin,reportst.sql,tin,
Livesql3,Aetna_xml_Data,Provider,dhmo.sql,provider,
Livesql3,DSSWebPortal,Provider,reportst.sql,provider,
Livesql3,dsswebportal_20101202,Provider,reportst.sql,provider,
Livesql3,rpt_AnthemWebPortal,Provider,reportst.sql,provider,
Livesql3,xls_DeltaCA,Provider,reportst.sql,provider,
DTT-ANA-PRD,payerbenefit,networkname,ext_raw_ec.sql,network,
DTT-ANA-PRD,payerbenefitmanualentry,networkname,ext_raw_ec.sql,network,
Livesql3,Users,SSN,Common.sql,ssn,
Livesql3,PayerEligMemberRecord,SSN,Common.sql,ssn,
Livesql3,PayerMemberEnrollment,SSN,Common.sql,ssn,
Livesql3,ProviderDirectory,SSN,Common.sql,ssn,
Livesql3,ProviderDirectoryCompare,SSN,Common.sql,ssn,
Livesql3,ProviderDirectoryHistory,SSN,Common.sql,ssn,
Livesql3,providerdirectoryold,SSN,Common.sql,ssn,
Livesql3,UsersAudit,SSN,Common.sql,ssn,
Livesql3,ProviderDetail,SSN,cred.sql,ssn,
Livesql3,ClaimProvider,SSN,dci.sql,ssn,
Livesql3,CreditApplication,SSN,pfs.sql,ssn,
Livesql3,CreditReport,SSN,pfs.sql,ssn,
Livesql3,TempDenticonUsers,SSN,reportst.sql,ssn,
Livesql3,tmpeagleslandingitems,SSN,reportst.sql,ssn,
Livesql3,WesternUsers,SSN,reportst.sql,ssn,
Livesql3,DssSalesCommissionBundleView,SSN,reportst.sql,ssn,
DTT-TRX-PRD,Invoices,DSO_Unique_Identifier,dwDev.sql,dso,
