Database,Schema,Source Table,Source Key Column,Target Table,Target Column,File
rpt,dbo,FilterQuery,FilterID,FK_FilterQuery_Filter_FilterID,Filter,FilterID,DTT-ANA-PRD/rpt.sql
rpt,dbo,QuestionFilter,FilterID,FK_QuestionFilter_Filter_FilterID,Filter,FilterID,DTT-ANA-PRD/rpt.sql
rpt,dbo,QuestionFilter,QuestionID,FK_QuestionFilter_Question_QuestionID,Question,QuestionID,DTT-ANA-PRD/rpt.sql
rpt,dbo,ReportChart,DefinitionID,FK_ReportChart_ReportDefinition_DefinitionID,ReportDefinition,DefinitionID,DTT-ANA-PRD/rpt.sql
rpt,dbo,ReportChartColumn,ChartID,FK_ReportChartColumn_ReportChart_ChartID,ReportChart,ChartID,DTT-ANA-PRD/rpt.sql
rpt,dbo,ReportColumn,DataSourceID,FK_ReportColumn_ReportDataSource,ReportDataSource,DataSourceID,DTT-ANA-PRD/rpt.sql
rpt,dbo,ReportColumn,LinkDefinitionID,FK_ReportColumn_ReportDefinition_LinkDefinitionID,ReportDefinition,DefinitionID,DTT-ANA-PRD/rpt.sql
rpt,dbo,ReportColumnTransformation,ColumnID,FK_ReportColumnTransformation_ReportColumn_ColumnID,ReportColumn,ColumnID,DTT-ANA-PRD/rpt.sql
rpt,dbo,ReportColumnTransformation,DataSourceID,FK_ReportColumnTransformation_ReportDataSource_DataSourceID,ReportDataSource,DataSourceID,DTT-ANA-PRD/rpt.sql
rpt,dbo,ReportDataSource,DefinitionID,FK_ReportDataSource_ReportDataSource_ReportDefinitionID,ReportDefinition,DefinitionID,DTT-ANA-PRD/rpt.sql
rpt,dbo,ReportDataSourceRelationship,LeftDataSourceID,FK_ReportDataSourceRelationship_ReportDataSource_LeftDataSouceID,ReportDataSource,DataSourceID,DTT-ANA-PRD/rpt.sql
rpt,dbo,ReportDataSourceRelationship,RightDataSourceID,FK_ReportDataSourceRelationship_ReportDataSource_RightDataSourceID,ReportDataSource,DataSourceID,DTT-ANA-PRD/rpt.sql
rpt,dbo,ReportFilter,ColumnID,FK_ReportFilter_ReportColumn_ColumnID,ReportColumn,ColumnID,DTT-ANA-PRD/rpt.sql
rpt,dbo,ReportFilter,DataSourceID,FK_ReportFilter_ReportDataSource_DataSourceID,ReportDataSource,DataSourceID,DTT-ANA-PRD/rpt.sql
rpt,dbo,ReportFilter,DefinitionID,FK_ReportFilter_ReportDefinition_DefinitionID,ReportDefinition,DefinitionID,DTT-ANA-PRD/rpt.sql
rpt,dbo,ReportFilterOption,FilterID,FK_ReportFilterOption_ReportFilter_FilterID,ReportFilter,FilterID,DTT-ANA-PRD/rpt.sql
rpt,dbo,ReportFilterOptionQuery,FilterID,FK_ReportFilterOptionQuery_ReportFilter_FilterID,ReportFilter,FilterID,DTT-ANA-PRD/rpt.sql
rpt,dbo,ReportGroupDefinition,ReportDefinitionID,FK_ReportGroupDefinition_ReportDefinition_DefnitIonID,ReportDefinition,DefinitionID,DTT-ANA-PRD/rpt.sql
rpt,dbo,ReportGroupDefinition,ReportGroupID,FK_ReportGroupDefinition_ReportGroup_ReportGroupID,ReportGroup,ReportGroupID,DTT-ANA-PRD/rpt.sql
rpt,dbo,ReportQuery,DefinitionID,FK_ReportQuery_ReportDefinition_DefinitionID,ReportDefinition,DefinitionID,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISDistributionClients,DataDaysID,FK_SSISDistributionClients_DataDaysID,SSISDataDays,DataDaysID,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISDistributionClients,DeliveryDayID,FK_SSISDistributionClients_DeliveryDayID,SSISDeliveryDays,DeliveryDayID,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISDistributionClients,ReportFrequencyID,FK_SSISDistributionClients_ReportFrequencyID,SSISReportFrequencies,ReportFrequencyID,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISDistributionClients,TemplateReportID,FK_SSISDistributionClients_TemplateReportID,SSISTemplateReports,TemplateReportID,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISDistributionClientsEmails,DistributionClientID,FK_SSISDistributionClientsEmails_DistributionClientID,SSISDistributionClients,DistributionClientID,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISDistributionClientsFTPDistributions,DistributionClientID,FK_SSISDistributionClientsFTPDistributions_DistributionClientID,SSISDistributionClients,DistributionClientID,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISGrandfatheredReportsMap,DistributionClientID,FK_SSISGrandfatheredReportsMap_DistributionClientID,SSISDistributionClients,DistributionClientID,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISReportFrequencyDeliveryDaysAllowed,DeliveryDayID,FK_SSISReportFrequencyDeliveryDaysAllowed_DeliveryDayID,SSISDeliveryDays,DeliveryDayID,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISReportFrequencyDeliveryDaysAllowed,ReportFrequencyID,FK_SSISReportFrequencyDeliveryDaysAllowed_ReportFrequencyID,SSISReportFrequencies,ReportFrequencyID,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISTemplateReportFeatureNames,TemplateReportID,FK_SSISTemplateReportFeatureNames_TemplateReportID,SSISTemplateReports,TemplateReportID,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISTemplateReportFrequenciesAllowed,DataDaysID,FK_SSISTemplateReportFrequenciesAllowed_DataDaysID,SSISDataDays,DataDaysID,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISTemplateReportFrequenciesAllowed,ReportFrequencyID,FK_SSISTemplateReportFrequenciesAllowed_ReportFrequencyID,SSISReportFrequencies,ReportFrequencyID,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISTemplateReportFrequenciesAllowed,TemplateReportID,FK_SSISTemplateReportFrequenciesAllowed_TemplateReportID,SSISTemplateReports,TemplateReportID,DTT-ANA-PRD/rpt.sql
rpt,dbo,SSISTemplateReports,ReportClientTypeID,FK_SSISTemplateReports_ReportClientTypeID,SSISReportClientTypes,ReportClientTypeID,DTT-ANA-PRD/rpt.sql
partcredDM,dbo,PayerPartnerOutreach,RenewDateID,FK_PayerPartnerOutreach_RenewDateID,RenewDates,RenewDateID,DTT-ANA-PRD/partcredDM.sql
master,cycle,Claims,AncestorClaimID,FK_CycleClaims_AncestorClaimID,Claims,ClaimID,DTT-ANA-PRD/ent.sql
master,cycle,Claims,ClaimID,FK_CycleClaims_ClaimID,Claims,ClaimID,DTT-ANA-PRD/ent.sql
master,ddsenroll,CREDApplicationSetDETApprovedAppsPayerApprovedLocations,AppSetID,FK_ApprovedAppsPayerApprovedLocations_AppSetID,CREDApplicationSetFLATAppSetsLifeCycles,AppSetID,DTT-ANA-PRD/ent.sql
master,ddsenroll,CREDProviderDETLocationsProviderProfileAnswers,ProviderProfileID,FK_LocationsProviderProfileAnswers_ProviderProfileID,CREDProviderDETProviderProfiles,ProviderProfileID,DTT-ANA-PRD/ent.sql
master,ddsenroll,CREDProviderDETMinReqdProviderProfileAnswers,ProviderProfileID,FK_MinReqdProviderProfileAnswers_ProviderProfileID,CREDProviderDETProviderProfiles,ProviderProfileID,DTT-ANA-PRD/ent.sql
master,ddsenroll,CREDProviderDETUnpivotedUserAnswers,ProviderProfileID,FK_CREDProviderDETUnpivotedUserAnswers_ProviderProfileID,CREDProviderDETProviderProfiles,ProviderProfileID,DTT-ANA-PRD/ent.sql
master,trans,Claims,AppointmentID,FK_TransClaims_AppointmentID,Appointments,AppointmentID,DTT-ANA-PRD/ent.sql
trxWsdm,dbo,TransactionDimensions,ClientTransactionID,FK_TransactionDimensions_ClientTransactionID,ClientTransactions,ClientTransactionID,DTT-TRX-PRD/trxWsdm.sql
trxWsdm,dbo,TransactionEventClientUsage,TransactionEventID,FK_TransactionEventClientUsage_TransactionEventID,TransactionEvents,TransactionEventID,DTT-TRX-PRD/trxWsdm.sql
trxWsdm,dbo,TransactionEvents,ClientTransactionID,FK_TransactionEvents_ClientTransactionID,ClientTransactions,ClientTransactionID,DTT-TRX-PRD/trxWsdm.sql
trxTest,dbo,TransactionEvents,ClientTransactionID,FK_TransactionEvents_ClientTransactionID,ClientTransactions,ClientTransactionID,DTT-TRX-PRD/trxTest.sql
trxQA,dbo,TransactionDimensions,ClientTransactionID,FK_TransactionDimensions_ClientTransactionID,ClientTransactions,ClientTransactionID,DTT-TRX-PRD/trxQA.sql
trxQA,dbo,TransactionEventClientUsage,TransactionEventID,FK_TransactionEventClientUsage_TransactionEventID,TransactionEvents,TransactionEventID,DTT-TRX-PRD/trxQA.sql
trxQA,dbo,TransactionEvents,ClientTransactionID,FK_TransactionEvents_ClientTransactionID,ClientTransactions,ClientTransactionID,DTT-TRX-PRD/trxQA.sql
erp,dbo,ClientGLEntrySummary,NSRevenueAccountID,FK_ClientGLEntrySummary_NSRevenueAccountID,ERPAccountLookup,NSInternalID,DTT-TRX-PRD/erp.sql
erp,dbo,ClientGLEntrySummary,NSSubsidiaryID,FK_ClientGLEntrySummary_NSSubsidiaryID,ERPSubsidiaryLookup,NSInternalID,DTT-TRX-PRD/erp.sql
erp,dbo,ClientUsageSummary,NSAccountInternalID,FK_ClientUsageSummary_NSAccountInternalID,ERPAccountLookup,NSInternalID,DTT-TRX-PRD/erp.sql
erp,dbo,ClientUsageSummary,NSItemInternalID,FK_ClientUsageSummary_NSItemInternalID,ERPItemLookup,NSInternalID,DTT-TRX-PRD/erp.sql
erp,dbo,ClientUsageSummary,NSRecordType,FK_ClientUsageSummary_NSRecordType,ERPRecordTypeLookup,NSRecordType,DTT-TRX-PRD/erp.sql
erp,dbo,ClientUsageSummary_TEST,NSAccountInternalID,FK_ClientUsageSummary_TEST_NSAccountInternalID,ERPAccountLookup,NSInternalID,DTT-TRX-PRD/erp.sql
erp,dbo,ClientUsageSummary_TEST,NSItemInternalID,FK_ClientUsageSummary_TEST_NSItemInternalID,ERPItemLookup,NSInternalID,DTT-TRX-PRD/erp.sql
erp,dbo,ClientUsageSummary_TEST,NSRecordType,FK_ClientUsageSummary_TEST_NSRecordType,ERPRecordTypeLookup,NSRecordType,DTT-TRX-PRD/erp.sql
erp,dbo,ERPItemFeatureNameLookup,ERPItemLookupID,FK_ERPItemFeatureNameLookup_ERPItemLookupID,ERPItemLookup,ERPItemLookupID,DTT-TRX-PRD/erp.sql
trxBrch,dbo,TransactionEvents,ClientTransactionID,FK_TransactionEvents_ClientTransactionID,ClientTransactions,ClientTransactionID,DTT-TRX-PRD/trxBrch.sql
erpDev,dbo,ClientGLEntrySummary,NSSubsidiaryID,FK_ClientGLEntrySummary_NSSubsidiaryID,ERPSubsidiaryLookup,NSInternalID,DTT-TRX-PRD/erpDev.sql
erpDev,dbo,ClientUsageSummary,NSRecordType,FK_ClientUsageSummary_NSRecordType,ERPRecordTypeLookup,NSRecordType,DTT-TRX-PRD/erpDev.sql
entyDev,dbo,Entities,BillingEntityID,FK_Entities_BillingEntityID,Entities,EntityID,DTT-TRX-PRD/entyDev.sql
entyDev,dbo,Entities,ParentEntityID,FK_Entities_ParentEntityID,Entities,EntityID,DTT-TRX-PRD/entyDev.sql
entyDev,dbo,Entities,VendorEntityID,FK_Entities_VendorEntityID,Entities,EntityID,DTT-TRX-PRD/entyDev.sql
merchant,dbo,Payment,AccountTokenID,FK_Payment_AccountToken,AccountToken,AccountTokenID,Livesql3/merchant.sql
merchant,dbo,Payment,PaymentTokenID,FK_Payment_PaymentToken,PaymentToken,PaymentTokenID,Livesql3/merchant.sql
merchant,dbo,PaymentToken,PaymentDetailsID,FK_PaymentToken_PaymentDetails_PaymentDetailsID,PaymentDetails,PaymentDetailsID,Livesql3/merchant.sql
pnt,dbo,Statement,StatementPracticeID,FK_Statement_StatementPractice_StatementPracticeID,StatementPractice,StatementPracticeID,Livesql3/pnt.sql
pnt,dbo,Statement,Status,FK_Statement_StatementStatus_Status,StatementStatus,StatementStatusID,Livesql3/pnt.sql
pnt,dbo,StatementAgedStatement,StatementID,FK_StatementAgedStatement_Statement_StatementID,Statement,StatementID,Livesql3/pnt.sql
pnt,dbo,StatementEmail,StatementID,FK_StatementEmail_Statement_StatementID,Statement,StatementID,Livesql3/pnt.sql
pnt,dbo,StatementExtension,StatementID,FK_StatementExtension_Statement_StatementID,Statement,StatementID,Livesql3/pnt.sql
pnt,dbo,StatementFile,Status,FK_StatementFile_StatementStatus_Status,StatementStatus,StatementStatusID,Livesql3/pnt.sql
pnt,dbo,StatementFileException,StatementFileID,FK_StatementFileException_StatementFile_StatementFileID,StatementFile,StatementFileID,Livesql3/pnt.sql
pnt,dbo,StatementFileNote,StatementFileID,FK_StatementFileNote_StatementFile_StatementFileID,StatementFile,StatementFileID,Livesql3/pnt.sql
pnt,dbo,StatementHistory,StatementID,FK_StatementHistory_Statement_StatementID,Statement,StatementID,Livesql3/pnt.sql
pnt,dbo,StatementHistory,Status,FK_StatementHistory_StatementStatus_Status,StatementStatus,StatementStatusID,Livesql3/pnt.sql
pnt,dbo,StatementItem,StatementID,FK_StatementItem_Statement_StatementID,Statement,StatementID,Livesql3/pnt.sql
pnt,dbo,StatementNote,StatementID,FK_StatementNote_Statement_StatementID,Statement,StatementID,Livesql3/pnt.sql
pnt,dbo,StatementPageCount,StatementID,FK_StatementPageCount_Statement_StatementID,Statement,StatementID,Livesql3/pnt.sql
pnt,dbo,StatementPractice,StatementFileID,FK_StatementPractice_StatementFile_StatementFileID,StatementFile,StatementFileID,Livesql3/pnt.sql
pnt,dbo,StatementPrepaymentAccount,StatementID,FK_StatementPrepaymentAccount_Statement_StatementID,Statement,StatementID,Livesql3/pnt.sql
pnt,dbo,StatementReminder,StatementID,FK_StatementReminder_Statement_StatementID,Statement,StatementID,Livesql3/pnt.sql
pnt,dbo,StatementTypePms,PmsID,FK_StatementTypePms_PntPms_PmsID,PntPms,PmsID,Livesql3/pnt.sql
pnt,dbo,StatementTypePms,Type,FK_StatementTypePms_StatementType_Type,StatementType,Type,Livesql3/pnt.sql
dhmo,dbo,Capitation,CapType,FK_Capitation_CapitationType_CapType,CapitationType,CapType,Livesql3/dhmo.sql
dhmo,dbo,Member,PlanID,FK_Member_Plan_PlanID,Plan,PlanID,Livesql3/dhmo.sql
dhmo,dbo,PlanItem,PlanID,FK_PlanItem_Plan_PlanID,Plan,PlanID,Livesql3/dhmo.sql
common,dbo,AlertNotification,AlertSubscriptionID,FK_AlertNotification_AlertSubscription_AlertSubscriptionID,AlertSubscription,AlertSubscriptionID,Livesql3/Common.sql
common,dbo,AlertProperty,AlertDefinitionID,FK_AlertProperty_AlertDefinition_AlertDefinitionID,AlertDefinition,AlertDefinitionID,Livesql3/Common.sql
common,dbo,AlertSubscription,AlertDefinitionID,FK_AlertSubscription_AlertDefinition_AlertDefinitionID,AlertDefinition,AlertDefinitionID,Livesql3/Common.sql
common,dbo,AlertSubscriptionProperty,AlertPropertyID,FK_AlertSubscriptionProperty_AlertProperty_AlertPropertyID,AlertProperty,AlertPropertyID,Livesql3/Common.sql
common,dbo,AlertSubscriptionProperty,AlertSubscriptionID,FK_AlertSubscriptionProperty_AlertSubscription_AlertSubscriptionID,AlertSubscription,AlertSubscriptionID,Livesql3/Common.sql
common,dbo,AttachmentInfo,GroupID,FK_AttachmentInfo_Groups_GroupID,Groups,GroupID,Livesql3/Common.sql
common,dbo,CCTrans,BillID,FK_CCTrans_BillingInfo_BillID,BillingInfo,BillID,Livesql3/Common.sql
common,dbo,CCTrans,GroupID,FK_CCTrans_Groups_GroupID,Groups,GroupID,Livesql3/Common.sql
common,dbo,ClientRevenueDetailItem,ClientRevenueDetailID,FK_ClientRevenueDetailItem_ClientRevenueDetail,ClientRevenueDetail,ClientRevenueDetailID,Livesql3/Common.sql
common,dbo,CommissionStatement,ActivityID,FK_CommissionStatement_StatementActivityLog_ActivityID,StatementActivityLog,ActivityID,Livesql3/Common.sql
common,dbo,CommissionStatement,SupportUserID,FK_CommissionStatement_SupportUser_SupportUserID,SupportUser,SupportUserID,Livesql3/Common.sql
common,dbo,CommissionStatementBonusItem,CommissionStatementID,FK_CommissionStatementBonusItem_CommissionStatement_CommissionStatementID,CommissionStatement,CommissionStatementID,Livesql3/Common.sql
common,dbo,CommissionStatementBonusItem,AddUser,FK_CommissionStatementBonusItem_SupportUser_AddUser,SupportUser,SupportUserID,Livesql3/Common.sql
common,dbo,CommissionStatementItem,CommissionStatementID,FK_CommissionStatementItem_CommissionStatement_CommissionStatementID,CommissionStatement,CommissionStatementID,Livesql3/Common.sql
common,dbo,CommissionStatementItem,ContractID,FK_CommissionStatementItem_ProductGroupPackage_ContractID,ProductGroupPackage,ContractID,Livesql3/Common.sql
common,dbo,Connector,PmsID,FK_Connector_Pms_PmsID,Pms,PmsID,Livesql3/Common.sql
common,dbo,ConnectorKey,ConnectorID,FK_ConnectorKey_Connector_ConnectorID,Connector,ConnectorID,Livesql3/Common.sql
common,dbo,ConnectorKey,GroupID,FK_ConnectorKey_Groups_GroupID,Groups,GroupID,Livesql3/Common.sql
common,dbo,ConnectorKeyProduct,ConnectorKeyID,FK_ConnectorKeyProduct_ConnectorKey_ConnectorKeyID,ConnectorKey,ConnectorKeyID,Livesql3/Common.sql
common,dbo,ConnectorKeyProperty,ConnectorKeyID,FK_ConnectorKeyProperty_ConnectorKey_ConnectorKeyID,ConnectorKey,ConnectorKeyID,Livesql3/Common.sql
common,dbo,ContactNote,ContactID,FK_ContactNote_Contact_ContactID,Contact,ContactID,Livesql3/Common.sql
common,dbo,ContactNote,CreatedBy,FK_ContactNote_SupportUser_CreatedBy,SupportUser,SupportUserID,Livesql3/Common.sql
common,dbo,ContactRelationship,ContactID,FK_ContactRelationship_Contact_ContactID,Contact,ContactID,Livesql3/Common.sql
common,dbo,ContactRelationship,ContactType,FK_ContactRelationship_ContactType_ContactType,ContactType,ContactType,Livesql3/Common.sql
common,dbo,ContactRelationship,EntityName,FK_ContactRelationship_EntityDescriptor_EntityName,EntityDescriptor,EntityName,Livesql3/Common.sql
common,dbo,ContactUs,GroupID,FK_ContactUs_Groups_GroupID,Groups,GroupID,Livesql3/Common.sql
common,dbo,ContactUs,TicketID,FK_ContactUs_Ticket_TicketID,Ticket,TicketID,Livesql3/Common.sql
common,dbo,ContactUsNote,CaseID,FK_ContactUsNote_ContactUs_CaseID,ContactUs,CaseID,Livesql3/Common.sql
common,dbo,ContactUsNote,SupportUserID,FK_ContactUsNote_SupportUser_SupportUserID,SupportUser,SupportUserID,Livesql3/Common.sql
common,dbo,Credential,TypeCode,FK_Credential_CredentialType_TypeCode,CredentialType,TypeCode,Livesql3/Common.sql
common,dbo,DmdFileUpload,GroupID,FK_DmdFileUpload_Groups_GroupID,Groups,GroupID,Livesql3/Common.sql
common,dbo,DmdFileUpload,UploadUserID,FK_DmdFileUpload_Users_UploadUserID,Users,UserID,Livesql3/Common.sql
common,dbo,DmdFileUploadImage,FileUploadID,FK_DmdFileUploadImage_DmdFileUpload_FileUploadID,DmdFileUpload,FileUploadID,Livesql3/Common.sql
common,dbo,DmdFileUploadReviewImage,UploadImageID,FK_DmdFileUploadReviewImage_DmdFileUploadImage_UploadImageID,DmdFileUploadImage,UploadImageID,Livesql3/Common.sql
common,dbo,DmdPms,PmsID,FK_DmdPms_Pms_PmsID,Pms,PmsID,Livesql3/Common.sql
common,dbo,DmdPmsGroup,DmdPmsID,FK_DmdPmsGroup_DmdPms_DmdPmsID,DmdPms,DmdPmsId,Livesql3/Common.sql
common,dbo,DmdPmsGroup,GroupID,FK_DmdPmsGroup_Groups_GroupID,Groups,GroupID,Livesql3/Common.sql
common,dbo,DmdPmsXmlToken,DmdPmsID,FK_DmdPmsXmlToken_DmdPms_DmdPmsID,DmdPms,DmdPmsId,Livesql3/Common.sql
common,dbo,DownloadAudit,DownloadConfigID,FK_DownloadAudit_DownloadConfig_DownloadConfigID,DownloadConfig,DownloadConfigID,Livesql3/Common.sql
common,dbo,DownloadConfigGroup,GroupId,FK_DownloadConfigGroup_Groups_GroupId,Groups,GroupID,Livesql3/Common.sql
common,dbo,DownloadContent,GroupID,FK_DownloadContent_Groups_GroupID,Groups,GroupID,Livesql3/Common.sql
common,dbo,Entity,EntityID,FK_Entity_Entity_EntityID,Entity,EntityID,Livesql3/Common.sql
common,dbo,Entity,ServiceCode,FK_Entity_ServiceCode_ServiceCode,ServiceCode,ServiceCode,Livesql3/Common.sql
common,dbo,EntityDescriptor,FinalServiceStatus,FK_EntityDescriptor_ServiceStatus_FinalServiceStatus,ServiceStatus,ServiceStatus,Livesql3/Common.sql
common,dbo,EntityDescriptor,InitialServiceStatus,FK_EntityDescriptor_ServiceStatus_InitialServiceStatus,ServiceStatus,ServiceStatus,Livesql3/Common.sql
common,dbo,EntityGroup,GroupID,FK_EntityGroup_Groups_GroupID,Groups,GroupID,Livesql3/Common.sql
common,dbo,EntityGroup,SupportUserID,FK_EntityGroup_SupportUser_SupportUserID,SupportUser,SupportUserID,Livesql3/Common.sql
common,dbo,ERARegistration,DestPartnerCode,FK_ERARegistration_ServiceCode_DestPartnerCode,ServiceCode,ServiceCode,Livesql3/Common.sql
common,dbo,ERARegistration,SecondaryDestPartnerCode,FK_ERARegistration_ServiceCode_SecondaryDestPartnerCode,ServiceCode,ServiceCode,Livesql3/Common.sql
common,dbo,ERARegistration,SourcePartnerCode,FK_ERARegistration_ServiceCode_SourcePartnerCode,ServiceCode,ServiceCode,Livesql3/Common.sql
common,dbo,ERARoutingInformation,GroupID,FK_ERARoutingInformation_Groups_GroupID,Groups,GroupID,Livesql3/Common.sql
common,dbo,FundContribution,FundGroupID,FK_FundContribution_FundGroup_FundGroupID,FundGroup,FundGroupID,Livesql3/Common.sql
common,dbo,FundContribution,GroupID,FK_FundContribution_Groups_GroupID,Groups,GroupID,Livesql3/Common.sql
common,dbo,FundContribution,StatementItemID,FK_FundContribution_StatementItem_StatementItemID,StatementItem,StatementItemID,Livesql3/Common.sql
common,dbo,FundContribution,WidgetType,FK_FundContribution_WidgetType_WidgetType,WidgetType,WidgetType,Livesql3/Common.sql
common,dbo,FundGroup,GroupID,FK_FundGroup_Groups_GroupID,Groups,GroupID,Livesql3/Common.sql
common,dbo,FundGroup,AgreeUser,FK_FundGroup_Users_AgreeUser,Users,UserID,Livesql3/Common.sql
common,dbo,FundGroup,CreateUser,FK_FundGroup_Users_CreateUser,Users,UserID,Livesql3/Common.sql
common,dbo,GroupBillingInfoSkip,GroupID,FK_GroupBillingInfoSkip_Groups_GroupID,Groups,GroupID,Livesql3/Common.sql
common,dbo,GroupDeactivation,GroupID,FK_GroupDeActivation_Groups_GroupID,Groups,GroupID,Livesql3/Common.sql
common,dbo,GroupMember,SubscriberGroupMemberID,FK_GroupMember_GroupMember_SubscriberGroupMemberID,GroupMember,GroupMemberID,Livesql3/Common.sql
common,dbo,GroupMember,GroupID,FK_GroupMember_Groups_GroupID,Groups,GroupID,Livesql3/Common.sql
common,dbo,GroupMember,PayerID,FK_GroupMember_Payer_PayerID,Payer,PayerID,Livesql3/Common.sql
common,dbo,GroupMemberPayer,GroupMemberID,FK_GroupMemberPayer_GroupMember_GroupMemberID,GroupMember,GroupMemberID,Livesql3/Common.sql
common,dbo,GroupMerchant,GroupID,FK_GroupMerchant_Groups_GroupID,Groups,GroupID,Livesql3/Common.sql
common,dbo,GroupMerchant,SupportUserID,FK_GroupMerchant_SupportUser_SupportUserID,SupportUser,SupportUserID,Livesql3/Common.sql
common,dbo,GroupMerchant,UserID,FK_GroupMerchant_Users_UserID,Users,UserID,Livesql3/Common.sql
common,dbo,GroupPartnerDisplay,PartnerID,FK_GroupPartnerDisplay_ServiceCode_PartnerID,ServiceCode,ServiceCode,Livesql3/Common.sql
common,dbo,GroupPayer,PayerID,FK_GroupPayer_Payer_PayerID,Payer,PayerID,Livesql3/Common.sql
common,dbo,GroupPayer,UserID,FK_GroupPayer_Users_UserID,Users,UserID,Livesql3/Common.sql
common,dbo,GroupRegTierSelection,PartnerRegistrationID,FK_GroupRegTierSelection_ProductPartnerRegistration_PartnerRegistrationID,ProductPartnerRegistration,PartnerRegistrationID,Livesql3/Common.sql
common,dbo,Groups,RegSource,FK_Groups_RegistrationSource_RegSource,RegistrationSource,Source,Livesql3/Common.sql
common,dbo,Groups,ReleaseGroupID,FK_Groups_ReleaseGroup_ReleaseGroupID,ReleaseGroup,ReleaseGroupID,Livesql3/Common.sql
common,dbo,Groups,ResellerID,FK_Groups_Reseller_ResellerID,Reseller,ResellerID,Livesql3/Common.sql
common,dbo,Groups,DefaultRoleID,FK_Groups_Roles_DefaultRoleID,Roles,RoleID,Livesql3/Common.sql
common,dbo,Groups,BatchUserID,FK_Groups_Users_BatchUserID,Users,UserID,Livesql3/Common.sql
common,dbo,GroupSupportUser,GroupID,FK_GroupSupportUser_Groups_GroupID,Groups,GroupID,Livesql3/Common.sql
common,dbo,GroupSupportUser,SupportUserID,FK_GroupSupportUser_SupportUser_SupportUserID,SupportUser,SupportUserID,Livesql3/Common.sql
common,dbo,GroupUserAlert,GroupID,FK_GroupUserAlert_Groups_GroupID,Groups,GroupID,Livesql3/Common.sql
common,dbo,GroupUserAlert,UserID,FK_GroupUserAlert_Users_UserID,Users,UserID,Livesql3/Common.sql
common,dbo,GroupUserRoles,RoleID,FK_GroupUserRoles_Roles_RoleID,Roles,RoleID,Livesql3/Common.sql
common,dbo,GroupUserSecurity,GroupID,FK_GroupUserSecurity_Groups_GroupID,Groups,GroupID,Livesql3/Common.sql
common,dbo,GroupUserSecurity,SupportUserID,FK_GroupUserSecurity_SupportUser_SupportUserID,SupportUser,SupportUserID,Livesql3/Common.sql
